expert_id,participant_id,task_id,stage,block,image_id,n_dims,P_i,P_norm
expert_03,P003,T3_transfer_C03,T3,transfer,C03,2,0,0.000000
expert_03,P019,T3_transfer_C01,T3,transfer,C01,3,0,0.000000
expert_03,P004,T3_transfer_A04,T3,transfer,A04,2,2,0.333333
expert_03,P004,T3_transfer_A01,T3,transfer,A01,2,1,0.166667
expert_03,P002,T3_transfer_A01,T3,transfer,A01,2,0,0.000000
expert_03,P001,T1_early_D03,T1,early,D03,2,1,0.166667
expert_03,P020,T2_middle_E01,T2,middle,E01,2,0,0.000000
expert_03,P014,T1_early_C02,T1,early,C02,2,0,0.000000
expert_03,P008,T1_middle_A05,T1,middle,A05,2,1,0.166667
expert_03,P017,T1_early_E04,T1,early,E04,2,1,0.166667
expert_03,P008,T3_transfer_C03,T3,transfer,C03,2,1,0.166667
expert_03,P016,T2_middle_A04,T2,middle,A04,2,1,0.166667
expert_03,P004,T2_middle_D05,T2,middle,D05,2,0,0.000000
expert_03,P002,T1_middle_D04,T1,middle,D04,2,0,0.000000
expert_03,P006,T1_middle_A02,T1,middle,A02,2,2,0.333333
expert_03,P003,T2_middle_C01,T2,middle,C01,3,3,0.333333
expert_03,P020,T3_transfer_C04,T3,transfer,C04,2,0,0.000000
expert_04,P014,T3_transfer_E02,T3,transfer,E02,2,0,0.000000
expert_04,P006,T1_early_C01,T1,early,C01,3,0,0.000000
expert_04,P002,T1_early_C02,T1,early,C02,2,0,0.000000
expert_04,P003,T1_early_D02,T1,early,D02,2,0,0.000000
expert_04,P010,T3_transfer_A02,T3,transfer,A02,2,0,0.000000
expert_04,P001,T1_early_E04,T1,early,E04,2,0,0.000000
expert_04,P001,T2_middle_A04,T2,middle,A04,2,0,0.000000
expert_04,P007,T1_early_D01,T1,early,D01,2,0,0.000000
expert_04,P019,T2_middle_A02,T2,middle,A02,2,0,0.000000
expert_04,P008,T3_transfer_C04,T3,transfer,C04,2,0,0.000000
expert_04,P003,T1_early_E02,T1,early,E02,2,0,0.000000
expert_04,P017,T1_early_A03,T1,early,A03,2,0,0.000000
expert_04,P015,T1_early_C04,T1,early,C04,2,0,0.000000
expert_04,P003,T3_transfer_E05,T3,transfer,E05,2,0,0.000000
expert_04,P017,T2_middle_D03,T2,middle,D03,2,5,0.833333
