expert_id,participant_id,task_id,stage,block,image_id,n_dims,P_i,P_norm
expert_04,P001,T2_middle_E05,T2,middle,E05,2,0,0.000000
expert_04,P002,T3_transfer_E03,T3,transfer,E03,2,0,0.000000
expert_04,P020,T1_early_D03,T1,early,D03,2,0,0.000000
expert_04,P016,T3_transfer_D06,T3,transfer,D06,2,0,0.000000
expert_04,P005,T1_early_D03,T1,early,D03,2,0,0.000000
expert_04,P015,T1_middle_D05,T1,middle,D05,2,0,0.000000
expert_04,P005,T1_middle_E03,T1,middle,E03,2,0,0.000000
expert_04,P011,T3_transfer_A05,T3,transfer,A05,2,2,0.333333
expert_04,P002,T1_middle_C04,T1,middle,C04,2,0,0.000000
expert_04,P018,T3_transfer_C01,T3,transfer,C01,3,1,0.111111
expert_04,P018,T2_middle_A05,T2,middle,A05,2,1,0.166667
expert_04,P010,T3_transfer_D01,T3,transfer,D01,2,0,0.000000
expert_04,P014,T3_transfer_E03,T3,transfer,E03,2,0,0.000000
expert_04,P001,T3_transfer_D05,T3,transfer,D05,2,2,0.333333
expert_04,P009,T1_early_C02,T1,early,C02,2,0,0.000000
expert_04,P020,T2_middle_A05,T2,middle,A05,2,0,0.000000
expert_04,P007,T3_transfer_E05,T3,transfer,E05,2,0,0.000000
expert_04,P009,T2_middle_A05,T2,middle,A05,2,2,0.333333
expert_04,P016,T2_middle_E03,T2,middle,E03,2,0,0.000000
expert_04,P015,T3_transfer_D03,T3,transfer,D03,2,0,0.000000
expert_04,P017,T2_middle_C03,T2,middle,C03,2,5,0.833333
expert_04,P020,T1_early_D02,T1,early,D02,2,0,0.000000
expert_04,P010,T2_middle_E01,T2,middle,E01,2,6,1.000000
expert_04,P018,T1_early_A02,T1,early,A02,2,0,0.000000
expert_04,P006,T3_transfer_D05,T3,transfer,D05,2,1,0.166667
expert_04,P007,T1_early_D02,T1,early,D02,2,1,0.166667
expert_04,P009,T3_transfer_D06,T3,transfer,D06,2,1,0.166667
expert_04,P007,T1_middle_A04,T1,middle,A04,2,0,0.000000
expert_04,P014,T2_middle_D06,T2,middle,D06,2,0,0.000000
expert_04,P005,T1_early_E02,T1,early,E02,2,0,0.000000
expert_04,P013,T2_middle_C03,T2,middle,C03,2,0,0.000000
expert_04,P018,T1_early_C03,T1,early,C03,2,0,0.000000
expert_04,P008,T1_early_E04,T1,early,E04,2,1,0.166667
expert_04,P011,T1_early_E04,T1,early,E04,2,2,0.333333
expert_04,P010,T1_early_E04,T1,early,E04,2,0,0.000000
expert_04,P015,T3_transfer_C02,T3,transfer,C02,2,0,0.000000
expert_04,P007,T1_middle_E01,T1,middle,E01,2,0,0.000000
expert_04,P013,T1_early_A05,T1,early,A05,2,0,0.000000
expert_04,P008,T1_early_D04,T1,early,D04,2,0,0.000000
